Movies,Year,Run Time,Genre
The Godfather,1972,175 min,"Crime, Drama"
Schindler's List,1993,195 min,"Biography, Drama, History"
12 Angry Men,1957,96 min,"Crime, Drama"
La vita è bella,1997,116 min,"Comedy, Drama, Romance"
"Il buono, il brutto, il cattivo",1966,161 min,"Adventure, Western"
The Shawshank Redemption,1994,142 min,Drama
The Pursuit of Happyness,2006,117 min,"Biography, Drama"
Shichinin no samurai,1954,207 min,"Action, Drama"
The Intouchables,2011,112 min,"Biography, Comedy, Drama"
Central do Brasil,1998,110 min,Drama
Requiem for a Dream,2000,102 min,Drama
A Beautiful Mind,2001,135 min,"Biography, Drama, Mystery"
Hachi: A Dog's Tale,2009,93 min,"Biography, Drama, Family"
Taken,2008,90 min,"Action, Crime, Thriller"
Yeopgijeogin geunyeo,2001,137 min,"Comedy, Drama, Romance"
Amores perros,2000,154 min,"Drama, Thriller"
The Shining,1980,146 min,"Drama, Horror"
Apocalypto,2006,139 min,"Action, Adventure, Drama"
Gladiator,2000,155 min,"Action, Adventure, Drama"
Cast Away,2000,143 min,"Adventure, Drama, Romance"
The Dark Knight,2008,152 min,"Action, Crime, Drama"
The Pianist,2002,150 min,"Biography, Drama, Music"
Titanic,1997,194 min,"Drama, Romance"
Bin-jip,2004,88 min,"Crime, Drama, Romance"
Braveheart,1995,178 min,"Biography, Drama, History"
It's a Wonderful Life,1946,130 min,"Drama, Family, Fantasy"
Bom yeoreum gaeul gyeoul geurigo bom,2003,103 min,"Drama, Romance"
Alien,1979,117 min,"Horror, Sci-Fi"
Salinui chueok,2003,131 min,"Crime, Drama, Mystery"
Vozvrashchenie,2003,110 min,Drama
Ang-ma-reul bo-at-da,2010,144 min,"Action, Crime, Thriller"
Bacheha-Ye aseman,1997,89 min,"Drama, Family, Sport"
Jodaeiye Nader az Simin,2011,123 min,Drama
The Sixth Sense,1999,107 min,"Drama, Mystery, Thriller"
Nae meorisokui jiwoogae,2004,117 min,"Drama, Romance"
Okuribito,2008,130 min,Drama
Wo de fu qin mu qin,1999,89 min,"Drama, Romance"
Saving Private Ryan,1998,169 min,"Drama, War"
The Bridge on the River Kwai,1957,161 min,"Adventure, Drama, War"
Ben-Hur,1959,212 min,"Adventure, Drama"
The Exorcist,1973,122 min,Horror
El secreto de sus ojos,2009,129 min,"Drama, Mystery, Romance"
Léon,1994,110 min,"Action, Crime, Drama"
The Green Mile,1999,189 min,"Crime, Drama, Fantasy"
Gran Torino,2008,116 min,Drama
Kill Bill: Vol. 1,2003,111 min,"Action, Crime, Thriller"
Jurassic Park,1993,127 min,"Action, Adventure, Sci-Fi"
Terminator 2: Judgment Day,1991,137 min,"Action, Sci-Fi"
Back to the Future,1985,116 min,"Adventure, Comedy, Sci-Fi"
Finding Nemo,2003,100 min,"Animation, Adventure, Comedy"
